name,type,loc,website,open_time,address,number,reviews,star_rating
San Jose Municipal Rose Garden,Parks,"San Jose, CA",https://www.sanjoseca.gov,8:00 AM - 8:00 PM,"Naglee Ave & Dana Ave San Jose, CA 95126",(408) 794-7275,583,4.5 star rating
River Oaks Park,Parks,"San Jose, CA",,,"400 River Oaks Pkwy San Jose, CA 95134",,40,4.5 star rating
Emma Prusch Farm Park,Parks,"San Jose, CA",http://www.sanjoseca.gov,8:30 AM - 8:30 PM,"647 S King Rd San Jose, CA 95116",(408) 794-6262,233,4.5 star rating
Fowler Creek Park,Parks,"San Jose, CA",http://www.sanjoseca.gov/Facil…,,"Fowler Road At Cortona Dr San Jose, CA 95135",,72,4.5 star rating
Los Gatos Creek Trail,Parks,"San Jose, CA",http://www.losgatosca.gov/inde…,,"1250 Dell Ave Campbell, CA 95008",(408) 793-5510,331,4.5 star rating
Campbell Park,Parks,"San Jose, CA",http://www.ci.campbell.ca.us/,8:00 AM - 5:00 PM,"Gilman & Campbell Ave Campbell, CA 95008",(408) 866-2100,105,4 star rating
Seven Seas Park,Parks,"San Jose, CA",,,"1010 Morse Ave Sunnyvale, CA 94089",,173,4.5 star rating
Almaden Lake Park,Parks,"San Jose, CA",http://www.sanjoseca.gov/facil…,8:00 AM - 4:30 PM,"15652 Almaden Expy San Jose, CA 95120",(408) 277-5130,162,4 star rating
Da Boccery,Bars,"San Jose, CA",https://www.daboccery.com,11:00 AM - 9:00 PM,"175 E Vineyard Avenue Livermore, CA 94550",(925) 201-3353,75,3.5 star rating
The Counter Santana Row,Bars,"San Jose, CA",http://www.thecounter.com,11:30 AM - 9:00 PM,"3055 Olin Ave Ste 1035 San Jose, CA 95128",(408) 423-9200,3521,3.5 star rating
Five Points,Bars,"San Jose, CA",http://www.fivepointssj.com,4:00 PM - 2:00 AM (Next day),"169 W Santa Clara St San Jose, CA 95113",(408) 982-5816,252,4 star rating
Miniboss,Bars,"San Jose, CA",http://www.sjminiboss.com,5:00 PM - 12:00 AM (Next day),"52 E Santa Clara St San Jose, CA 95113",(408) 520-4909,245,4 star rating
3rd & Bourbon,Bars,"San Jose, CA",https://www.3rdandbourbon.com,4:00 PM - 10:00 PM,"93 E Santa Clara St San Jose, CA 95113",(408) 320-2453,214,4.5 star rating
Nova Downtown San Jose,Bars,"San Jose, CA",https://www.novasj.com,7:00 PM - 1:30 AM (Next day),"83 S 2nd St San Jose, CA 95113",,39,3.5 star rating
LVL 44,Bars,"San Jose, CA",http://www.lvl44.com,10:00 PM - 1:30 AM (Next day),"44 S Almaden Ave San Jose, CA 95113",(408) 331-8419,100,4 star rating
Dr. Funk,Bars,"San Jose, CA",http://drfunksj.com,4:00 PM - 2:00 AM (Next day),"29 N San Pedro St San Jose, CA 95110",,38,4.5 star rating
Paper Plane,Bars,"San Jose, CA",https://www.paperplanesj.com,5:00 PM - 2:00 AM (Next day),"72 S 1st St San Jose, CA 95113",(408) 713-2625,1387,4 star rating
Doghouse Sports Lounge,Bars,"San Jose, CA",http://doghousesports1.wix.com…,12:00 PM - 2:00 AM (Next day),"1336 N 1st St San Jose, CA 95112",(408) 453-5326,158,4.5 star rating
Rec Room,Bars,"San Jose, CA",https://www.recroomsj.com,6:00 PM - 1:00 AM (Next day),"1 East San Fernando St San Jose, CA 95113",,37,4 star rating
Vibez Hookah Lounge,Bars,"San Jose, CA",,5:00 PM - 12:00 AM (Next day),"115 N 4th St Unit 115 San Jose, CA 95112",(669) 306-5832,34,4.5 star rating
Da Boccery,Karaoke,"San Jose, CA",https://www.daboccery.com,11:00 AM - 9:00 PM,"175 E Vineyard Avenue Livermore, CA 94550",(925) 201-3353,75,3.5 star rating
Casino M8trix,Karaoke,"San Jose, CA",http://casinom8trix.com,,"1887 Matrix Blvd San Jose, CA 95110",(408) 244-3333,554,2.5 star rating
Music Tunnel KTV Cafe,Karaoke,"San Jose, CA",http://www.musictunnelktv.com,3:00 PM - 12:00 AM (Next day),"1132 S De Anza Blvd Ste 10 San Jose, CA 95129",(408) 446-0888,425,4 star rating
IDOL Karaoke,Karaoke,"San Jose, CA",https://idol-karaoke.square.si…,11:00 AM - 12:00 AM (Next day),"21 E Virginia San Jose, CA 95112",(831) 334-5006,68,4 star rating
EMA Karaoke & Bar,Karaoke,"San Jose, CA",,6:30 PM - 2:00 AM (Next day),"2460 El Camino Real Santa Clara, CA 95051",(408) 899-4302,266,4.5 star rating
7 Bamboo Lounge,Karaoke,"San Jose, CA",http://www.7bamboolounge.com,7:00 PM - 2:00 AM (Next day),"162 Jackson St San Jose, CA 95112",(408) 279-9937,420,4 star rating
Encore KTV,Karaoke,"San Jose, CA",,5:00 PM - 2:00 AM (Next day),"46132 Warm Springs Blvd Fremont, CA 94539",(510) 325-8693,50,4 star rating
Pure Karaoke,Karaoke,"San Jose, CA",,4:00 PM - 12:00 AM (Next day),"1297 E Calaveras Blvd Milpitas, CA 95035",(408) 824-5800,139,4 star rating
Gamba Karaoke,Karaoke,"San Jose, CA",http://www.gambakaraoke.com/,7:30 PM - 2:00 AM (Next day),"19990 E Homestead Rd Cupertino, CA 95014",(408) 865-0955,316,4 star rating
Kor Karaoke,Karaoke,"San Jose, CA",http://korkaraoke.com,8:00 AM - 2:00 AM (Next day),,(408) 799-0383,50,5 star rating
Golden Lounge KTV,Karaoke,"San Jose, CA",https://a.meipian.cn/9b7krf7?f…,3:00 PM - 2:00 AM (Next day),"6006 Stevenson Blvd Fremont, CA 94539",(510) 687-1221,22,3.5 star rating
Britannia Arms Cupertino,Karaoke,"San Jose, CA",http://britanniaarmsdeanza.com,12:30 PM - 2:00 AM (Next day),"1087 S De Anza Blvd San Jose, CA 95129",(408) 252-7262,236,3.5 star rating
Santa Clara Square Marketplace,Malls,"San Jose, CA",https://www.shopirvinecompany.…,,"2702 - 2782 Augustine Dr Santa Clara, CA 95054",(949) 720-3100,18,3 star rating
T-Mobile,Malls,"San Jose, CA",https://www.t-mobile.com/store…,10:00 AM - 7:00 PM,"740 Story Rd Ste 7 San Jose, CA 95122",(408) 993-9003,3,5 star rating
Westfield Valley Fair,Malls,"San Jose, CA",http://www.westfield.com,11:00 AM - 9:00 PM,"2855 Stevens Creek Blvd Santa Clara, CA 95050",(408) 248-4450,1421,3.5 star rating
Westfield Oakridge,Malls,"San Jose, CA",http://www.westfield.com,11:00 AM - 8:00 PM,"925 Blossom Hill Rd San Jose, CA 95123",(408) 578-2912,448,3.5 star rating
Great Mall,Malls,"San Jose, CA",https://www.simon.com/mall/gre…,11:00 AM - 8:00 PM,"447 Great Mall Dr Milpitas, CA 95035",(408) 956-2033,1100,3 star rating
Santana Row,Malls,"San Jose, CA",http://www.santanarow.com,10:00 AM - 9:00 PM,"377 Santana Row San Jose, CA 95128",(408) 551-4611,1111,3.5 star rating
Eastridge,Malls,"San Jose, CA",http://www.eastridgecenter.com,11:00 AM - 8:00 PM,"2200 Eastridge Loop Ste 2062 San Jose, CA 95122",(408) 238-3600,365,3 star rating
Grand Century Shopping Mall,Malls,"San Jose, CA",,,"1001 Story Rd San Jose, CA 95122",(408) 298-5149,146,3 star rating
Gilroy Premium Outlets,Malls,"San Jose, CA",http://www.premiumoutlets.com,11:00 AM - 8:00 PM,"681 Leavesley Rd Gilroy, CA 95020",(408) 842-3729,488,3.5 star rating
Stanford Shopping Center,Malls,"San Jose, CA",http://www.simon.com,11:00 AM - 7:00 PM,"660 Stanford Shopping Ctr Palo Alto, CA 94304",(650) 617-8200,643,4 star rating
Westgate Center,Malls,"San Jose, CA",http://shopwestgatecenter.com,10:00 AM - 9:00 PM,"1600 Saratoga Ave San Jose, CA 95129",(877) 265-7417,162,3 star rating
Lemos Farm,Amusement Parks,"San Jose, CA",http://www.lemosfarm.com,,"12320 San Mateo Rd Half Moon Bay, CA 94019",(650) 726-2342,415,3.5 star rating
Happy Hollow Park & Zoo,Amusement Parks,"San Jose, CA",http://www.happyhollow.org,10:00 AM - 4:00 PM,"748 Story Rd San Jose, CA 95112",(408) 794-6400,938,4 star rating
California's Great America,Amusement Parks,"San Jose, CA",http://www.cagreatamerica.com/,11:00 AM - 8:00 PM,"4701 Great America Pkwy Santa Clara, CA 95054",(408) 988-1776,1597,3 star rating
Gilroy Gardens Family Theme Park,Amusement Parks,"San Jose, CA",https://www.gilroygardens.org,,"3050 Hecker Pass Hwy Gilroy, CA 95020",(408) 840-7100,923,4 star rating
Raging Waters San Jose,Amusement Parks,"San Jose, CA",http://www.rwsplash.com,,"2333 S White Rd San Jose, CA 95148",(408) 238-9900,408,2.5 star rating
Aqua Adventure Water Park,Amusement Parks,"San Jose, CA",http://www.goaquaadventure.com,,"40500 Paseo Padre Pkwy Fremont, CA 94538",(510) 494-4426,202,3.5 star rating
K1 Speed,Amusement Parks,"San Jose, CA",http://k1speed.com/santa-clara…,12:00 PM - 10:00 PM,"2925 Mead Ave Santa Clara, CA 95051",(408) 338-0579,713,2.5 star rating
Billy Jones Wildcat Railroad,Amusement Parks,"San Jose, CA",http://www.bjwrr.org,,"233 Blossom Hill Rd Los Gatos, CA 95032",(408) 395-7433,70,4.5 star rating
KIDDO'S CHU CHU,Amusement Parks,"San Jose, CA",http://kiddoschuchu.com,8:00 AM - 8:00 PM,"1010 Metro Center Blvd Foster City, CA 94404",(650) 557-8030,5,5 star rating
The Grizzly,Amusement Parks,"San Jose, CA",,,"4701 Great America Pkwy Santa Clara, CA 95054",,9,4.5 star rating
Raging Waters San Jose,Water Parks,"San Jose, CA",http://www.rwsplash.com,,"2333 S White Rd San Jose, CA 95148",(408) 238-9900,408,2.5 star rating
Happy Hollow Park & Zoo,Water Parks,"San Jose, CA",http://www.happyhollow.org,10:00 AM - 4:00 PM,"748 Story Rd San Jose, CA 95112",(408) 794-6400,938,4 star rating
Legoland Discovery Center,Water Parks,"San Jose, CA",https://www.legolanddiscoveryc…,11:00 AM - 5:00 PM,"870 Great Mall Dr Entrance 4 (near the Food Court) Milpitas, CA 95035",(669) 213-0612,48,3 star rating
Aloha Roller Rink,Water Parks,"San Jose, CA",https://aloharollerrink.com,4:00 PM - 10:00 PM,"2190 Eastridge Lp Ste 1402 San Jose, CA 95122",(408) 637-7465,112,3 star rating
Children's Discovery Museum,Water Parks,"San Jose, CA",http://www.cdm.org,9:30 AM - 12:30 PM,"180 Woz Way San Jose, CA 95110",(408) 298-5437,674,4 star rating
Aloha Fun Center,Water Parks,"San Jose, CA",https://aloharollerrink.com,,"2190 Eastridge Loop Ste 1402 San Jose, CA 95122",(805) 475-4341,,5 star rating
Method 42 Productions,Water Parks,"San Jose, CA",http://www.method42.net,10:00 AM - 6:00 PM,"894 Commercial St San Jose, CA 95112",(408) 998-4242,11,4.5 star rating
Communications Hill Grand Staircase,Landmarks & Historical Buildings,"San Jose, CA",,,"399 Mullinix Way San Jose, CA 95136",,,4.5 star rating
Sierra Road,Landmarks & Historical Buildings,"San Jose, CA",,,"Sierra Rd San Jose, CA 95132",,,4.5 star rating
Westfield Valley Fair,Landmarks & Historical Buildings,"San Jose, CA",http://www.westfield.com,11:00 AM - 9:00 PM,"2855 Stevens Creek Blvd Santa Clara, CA 95050",(408) 248-4450,1421,3.5 star rating
Santana Row,Landmarks & Historical Buildings,"San Jose, CA",http://www.santanarow.com,10:00 AM - 9:00 PM,"377 Santana Row San Jose, CA 95128",(408) 551-4611,1111,3.5 star rating
Hakone Estate and Gardens,Landmarks & Historical Buildings,"San Jose, CA",http://www.hakone.com,10:00 AM - 4:00 PM,"21000 Big Basin Way Saratoga, CA 95070",(408) 741-4994,481,4 star rating
Sunol Water Temple,Landmarks & Historical Buildings,"San Jose, CA",,,"505 Paloma Way Sunol, CA 94586",(650) 652-3212,,4 star rating
Rengstorff House,Museum,"San Jose, CA",http://www.mountainview.gov/re…,,"3070 N Shoreline Blvd Mountain View, CA 94043",(650) 903-6088,44,4.5 star rating
Rosicrucian Egyptian Museum,Museum,"San Jose, CA",http://www.rosicrucianegyptian…,,"1660 Park Ave San Jose, CA 95191",(408) 947-3635,424,4 star rating
Children's Discovery Museum,Museum,"San Jose, CA",http://www.cdm.org,9:30 AM - 12:30 PM,"180 Woz Way San Jose, CA 95110",(408) 298-5437,674,4 star rating
The Tech Interactive,Museum,"San Jose, CA",http://www.thetech.org,10:00 AM - 3:00 PM,"201 S Market St San Jose, CA 95113",(408) 294-8324,694,3.5 star rating
San Jose Institute of Contemporary Art,Museum,"San Jose, CA",http://www.sjica.org,12:00 PM - 5:00 PM,"560 S 1st St San Jose, CA 95113",(408) 283-8155,40,4.5 star rating
San Jose Museum of Art,Museum,"San Jose, CA",http://www.sanjosemuseumofart.…,,"110 S Market St San Jose, CA 95113",(408) 271-6840,262,3.5 star rating
Winchester Mystery House,Museum,"San Jose, CA",https://www.winchestermysteryh…,10:00 AM - 5:00 PM,"525 S Winchester Blvd San Jose, CA 95128",(408) 247-2000,2085,3.5 star rating
Beyond Van Gogh,Museum,"San Jose, CA",https://vangoghsanjose.com,10:00 AM - 10:00 PM,"435 S Market St San Jose, CA 95113",(800) 441-0819,25,2.5 star rating
Triton Museum of Art,Museum,"San Jose, CA",http://www.tritonmuseum.org,11:00 AM - 4:30 PM,"1505 Warburton Ave Santa Clara, CA 95050",(408) 247-2438,57,4.5 star rating
Computer History Museum,Museum,"San Jose, CA",http://www.computerhistory.org,10:00 AM - 5:00 PM,"1401 N Shoreline Blvd Mountain View, CA 94043",(650) 810-1010,326,4.5 star rating
Japanese American Museum of San Jose,Museum,"San Jose, CA",http://www.jamsj.org,12:00 PM - 4:00 PM,"535 North 5th St San Jose, CA 95112",(408) 294-3138,52,4.5 star rating
Cypress Granite & Memorials,Monuments,"San Jose, CA",http://www.cypressgranite.net,,"1087 S 3rd St San Jose, CA 95112",(408) 292-6500,,4 star rating
Bras & Mattos Monument,Monuments,"San Jose, CA",https://mattosmonuments.com,,"26359 Mission Blvd Hayward, CA 94544",(510) 581-5833,,5 star rating
SBK Monument Shop,Monuments,"San Jose, CA",http://www.sbkmonument.com,,"1841 Monterey Hwy San Jose, CA 95112",(408) 971-3388,,1 star rating
Forever Etched,Monuments,"San Jose, CA",http://foreveretchedinc.com,,"500 Lincoln St Santa Clara, CA 95050",(408) 265-2643,,4 star rating
California Monumental Company,Monuments,"San Jose, CA",https://www.californiamonument…,,"500 Lincoln St Santa Clara, CA 95050",(408) 275-0191,,2.5 star rating
American Monumental Company,Monuments,"San Jose, CA",http://www.AmericanMonumental.…,,"1351 El Camino Real Colma, CA 94014",(650) 755-1141,,4 star rating
Kollmann & Mason Monument Company,Monuments,"San Jose, CA",,,"1361 El Camino Real Colma, CA 94014",(650) 755-6011,,4 star rating
Oakwood Memorial Park,Monuments,"San Jose, CA",http://www.scmemorial.com,,"3301 Paul Sweet Rd Santa Cruz, CA 95065",(831) 920-0716,,5 star rating
Bras & Mattos Monument,Temples,"San Jose, CA",https://mattosmonuments.com,,"26359 Mission Blvd Hayward, CA 94544",(510) 581-5833,,5 star rating
SBK Monument Shop,Temples,"San Jose, CA",http://www.sbkmonument.com,,"1841 Monterey Hwy San Jose, CA 95112",(408) 971-3388,,1 star rating
Kollmann & Mason Monument Company,Temples,"San Jose, CA",,,"1361 El Camino Real Colma, CA 94014",(650) 755-6011,,4 star rating
California Monumental Company,Temples,"San Jose, CA",https://www.californiamonument…,,"500 Lincoln St Santa Clara, CA 95050",(408) 275-0191,,2.5 star rating
Elegant Thread,Temples,"San Jose, CA",https://www.elegant-carpetcare…,,"1206 Mountain View-Alviso Ste D Sunnyvale, CA 94086",(408) 773-8624,,4.5 star rating
Sign My Signs,Temples,"San Jose, CA",https://www.signmysigns.com,,"3507 Ryder St Santa Clara, CA 95051",(408) 988-9988,,4.5 star rating
Silicon Valley Signs,Temples,"San Jose, CA",http://www.siliconvalleysigns.…,,"3501 Thomas Rd Ste 5 Santa Clara, CA 95054",(408) 588-4061,,5 star rating
Mission City Signs,Temples,"San Jose, CA",http://www.missioncitysigns.co…,,"1589 Laurelwood Rd Santa Clara, CA 95054",(408) 963-6587,,5 star rating
Midway Signs,Temples,"San Jose, CA",http://www.midwaysigns.net,,"3290 Bassett St Santa Clara, CA 95054",(408) 982-9696,,5 star rating
Forever Etched,Zoos,"San Jose, CA",http://foreveretchedinc.com,,"500 Lincoln St Santa Clara, CA 95050",(408) 265-2643,,4 star rating
SBK Monument Shop,Zoos,"San Jose, CA",http://www.sbkmonument.com,,"1841 Monterey Hwy San Jose, CA 95112",(408) 971-3388,,1 star rating
Lupe the Columbian Mammoth,Zoos,"San Jose, CA",https://www.sanjoseca.go,,"413-441 W Trimble Rd San Jose, CA 95131",(408) 793-4344,7,4.5 star rating
Captain Kirk's San Francisco Sailing,Zoos,"San Jose, CA",http://www.sfbaysail.com,8:00 AM - 6:00 PM,"150 Harbor Dr Sausalito, CA 94965",(650) 930-0740,504,5 star rating
Lone Tree Cemetery,Zoos,"San Jose, CA",http://www.lonetreecemetery.co…,,"24591 Fairview Ave Hayward, CA 94542",(510) 582-1274,,4 star rating
Five Emerald Limousine,Zoos,"San Jose, CA",https://www.fiveemeraldlimo.co…,,"San Francisco, CA 94111",(415) 812-1757,305,5 star rating
Segway Tours Monterey,Zoos,"San Jose, CA",http://www.segwaytoursmonterey…,9:00 AM - 9:00 PM,"125 Ocean View Blvd Spc 120b Pacific Grove, CA 93950",(831) 324-4438,64,5 star rating
Forever Etched,Aquariums,"San Jose, CA",http://foreveretchedinc.com,,"500 Lincoln St Santa Clara, CA 95050",(408) 265-2643,,4 star rating
SBK Monument Shop,Aquariums,"San Jose, CA",http://www.sbkmonument.com,,"1841 Monterey Hwy San Jose, CA 95112",(408) 971-3388,,1 star rating
Lupe the Columbian Mammoth,Aquariums,"San Jose, CA",https://www.sanjoseca.go,,"413-441 W Trimble Rd San Jose, CA 95131",(408) 793-4344,7,4.5 star rating
Captain Kirk's San Francisco Sailing,Aquariums,"San Jose, CA",http://www.sfbaysail.com,8:00 AM - 6:00 PM,"150 Harbor Dr Sausalito, CA 94965",(650) 930-0740,504,5 star rating
Lone Tree Cemetery,Aquariums,"San Jose, CA",http://www.lonetreecemetery.co…,,"24591 Fairview Ave Hayward, CA 94542",(510) 582-1274,,4 star rating
Five Emerald Limousine,Aquariums,"San Jose, CA",https://www.fiveemeraldlimo.co…,,"San Francisco, CA 94111",(415) 812-1757,305,5 star rating
Segway Tours Monterey,Aquariums,"San Jose, CA",http://www.segwaytoursmonterey…,9:00 AM - 9:00 PM,"125 Ocean View Blvd Spc 120b Pacific Grove, CA 93950",(831) 324-4438,64,5 star rating
Bras & Mattos Monument,Art Galleries,"San Jose, CA",https://mattosmonuments.com,,"26359 Mission Blvd Hayward, CA 94544",(510) 581-5833,,5 star rating
Forever Etched,Art Galleries,"San Jose, CA",http://foreveretchedinc.com,,"500 Lincoln St Santa Clara, CA 95050",(408) 265-2643,,4 star rating
SBK Monument Shop,Art Galleries,"San Jose, CA",http://www.sbkmonument.com,,"1841 Monterey Hwy San Jose, CA 95112",(408) 971-3388,,1 star rating
Kollmann & Mason Monument Company,Art Galleries,"San Jose, CA",,,"1361 El Camino Real Colma, CA 94014",(650) 755-6011,,4 star rating
California Monumental Company,Art Galleries,"San Jose, CA",https://www.californiamonument…,,"500 Lincoln St Santa Clara, CA 95050",(408) 275-0191,,2.5 star rating
Elegant Thread,Art Galleries,"San Jose, CA",https://www.elegant-carpetcare…,,"1206 Mountain View-Alviso Ste D Sunnyvale, CA 94086",(408) 773-8624,,4.5 star rating
Sign My Signs,Art Galleries,"San Jose, CA",https://www.signmysigns.com,,"3507 Ryder St Santa Clara, CA 95051",(408) 988-9988,,4.5 star rating
Silicon Valley Signs,Art Galleries,"San Jose, CA",http://www.siliconvalleysigns.…,,"3501 Thomas Rd Ste 5 Santa Clara, CA 95054",(408) 588-4061,,5 star rating
Mission City Signs,Art Galleries,"San Jose, CA",http://www.missioncitysigns.co…,,"1589 Laurelwood Rd Santa Clara, CA 95054",(408) 963-6587,,5 star rating
Midway Signs,Art Galleries,"San Jose, CA",http://www.midwaysigns.net,,"3290 Bassett St Santa Clara, CA 95054",(408) 982-9696,,5 star rating
Hakone Estate and Gardens,Tourist Attractions,"San Jose, CA",http://www.hakone.com,10:00 AM - 4:00 PM,"21000 Big Basin Way Saratoga, CA 95070",(408) 741-4994,481,4 star rating
Winchester Mystery House,Tourist Attractions,"San Jose, CA",https://www.winchestermysteryh…,10:00 AM - 5:00 PM,"525 S Winchester Blvd San Jose, CA 95128",(408) 247-2000,2085,3.5 star rating
Japantown San Jose,Tourist Attractions,"San Jose, CA",http://www.japantownsanjose.or…,,"565 N 6th St San Jose, CA 95112",(408) 298-4303,,4 star rating
Rosicrucian Egyptian Museum,Tourist Attractions,"San Jose, CA",http://www.rosicrucianegyptian…,,"1660 Park Ave San Jose, CA 95191",(408) 947-3635,424,4 star rating
Christmas In The Park,Tourist Attractions,"San Jose, CA",http://www.christmasinthepark.…,12:00 PM - 12:00 AM (Next day),"194 S Market St San Jose, CA 95113",(408) 809-9627,729,4 star rating
Apple Park Visitor Center,Tourist Attractions,"San Jose, CA",https://www.apple.com/retail/a…,10:00 AM - 6:00 PM,"10600 North Tantau Ave Cupertino, CA 95014",(408) 961-1560,164,4 star rating
Vasona Park,Tourist Attractions,"San Jose, CA",https://www.sccgov.org/sites/p…,8:00 AM - 7:00 PM,"333 Blossom Hill Rd Los Gatos, CA 95032",(408) 355-2375,402,4.5 star rating
Mystery Spot,Tourist Attractions,"San Jose, CA",http://mysteryspot.com/,10:00 AM - 4:00 PM,"465 Mystery Spot Rd Santa Cruz, CA 95065",(831) 423-8897,1263,4 star rating
The Tech Interactive,Tourist Attractions,"San Jose, CA",http://www.thetech.org,10:00 AM - 3:00 PM,"201 S Market St San Jose, CA 95113",(408) 294-8324,694,3.5 star rating
Lick Observatory,Tourist Attractions,"San Jose, CA",http://www.ucolick.org/main/in…,12:00 PM - 5:00 PM,"7281 Mt Hamilton Rd Mount Hamilton, CA 95140",(408) 274-5061,140,4.5 star rating
Dumpling Park,Restaurants,"San Francisco, CA",,10:45 AM - 9:30 PM,"1309 9th Ave San Francisco, CA 94122",(415) 702-6108,141,3.5 star rating
Golden Kim Tar,Restaurants,"San Francisco, CA",,10:00 AM - 9:30 PM,"434 Larkin St San Francisco, CA 94102",(415) 346-8889,317,3.5 star rating
Marufuku Ramen,Restaurants,"San Francisco, CA",http://marufukuramen.com,11:00 AM - 10:00 PM,"1581 Webster St Ste 235 San Francisco, CA 94115",(415) 872-9786,3629,4.5 star rating
Farmhouse Kitchen Thai Cuisine,Restaurants,"San Francisco, CA",http://www.farmhousethai.com,"11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM","710 Florida St San Francisco, CA 94110",(415) 814-2920,3045,4 star rating
Sotto Mare Oysteria & Seafood,Restaurants,"San Francisco, CA",http://www.sottomaresf.com/,11:30 AM - 9:00 PM,"552 Green St San Francisco, CA 94133",(415) 398-3181,4250,4.5 star rating
Burma Superstar,Restaurants,"San Francisco, CA",http://www.burmasuperstar.com/,"11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM","309 Clement St San Francisco, CA 94118",(415) 387-2147,7034,4 star rating
Fog Harbor Fish House,Restaurants,"San Francisco, CA",https://fogharbor.com,11:00 AM - 9:00 PM,"39 Pier Ste A - 202 San Francisco, CA 94133",(415) 421-2442,7168,4.5 star rating
Daeho Kalbijjim & Beef Soup,Restaurants,"San Francisco, CA",,"10:30 AM - 2:30 PM, 4:30 PM - 9:00 PM","1620 Post St San Francisco, CA 94115",(415) 563-1388,1234,4.5 star rating
California Fish Market Restaurant,Restaurants,"San Francisco, CA",http://www.cafishmarketrestaur…,11:30 AM - 10:00 PM,"550 Green St San Francisco, CA 94133",(415) 757-0918,341,4.5 star rating
Lokma,Restaurants,"San Francisco, CA",http://www.lokmasf.com,"10:00 AM - 2:30 PM, 4:00 PM - 8:30 PM","1801 Clement St San Francisco, CA 94121",(415) 702-6263,446,4.5 star rating
Parada 22,Restaurants,"San Francisco, CA",,8:30 AM - 10:00 PM,"1805 Haight St San Francisco, CA 94117",(415) 750-1111,1319,4 star rating
a Mano,Restaurants,"San Francisco, CA",http://amanosf.com,12:00 PM - 10:00 PM,"450 Hayes St San Francisco, CA 94102",(415) 506-7401,1203,4 star rating
Zaoh Restaurant,Restaurants,"San Francisco, CA",https://orderzaoh.com,"11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM","1555 Mission St San Francisco, CA 94103",(415) 431-3930,315,4 star rating
Valencia Pizza & Pasta,Parks,"San Francisco, CA",http://valenciapizzapasta.com,10:30 AM - 8:30 PM,"801 Valencia St San Francisco, CA 94110",(415) 642-1882,438,4 star rating
