name,type,loc,website,open_time,address,number,reviews,star_rating,tour,review_category,img
Shoup Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/patriot-corner-picnic-area-shoup-park,8:00 AM - 8:00 PM,"400 University Ave, Los Altos, CA 94022",16509472790,634,5,No,500-1000,https://www.losaltosca.gov/sites/default/files/styles/gallery500/public/imageattachments/recreation/page/32341/shoup_park.jpg?itok=xcAWxISi
Grant Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/grant-park-community-center,6:00 AM - 9:00 PM,"1575 Holt Ave, Los Altos, CA 94024",16509472790,217,4,No,100-500,https://www.losaltosca.gov/sites/default/files/styles/gallery500/public/imageattachments/recreation/page/35741/img_0008.jpg?itok=VusWQgls
Heritage Oaks Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/heritage-oaks-park,7:00 AM - 9:00 PM,"Miramonte Ave , Portland Ave, Los Altos, CA 94024",16509472790,175,5,No,100-500,https://julianalee.com/los-altos/parks/heritage-oaks-h.jpg
Rosita Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation,Open 24 Hours,"401 Rosita Ave, Los Altos, CA 94024",16509472790,63,5,No,10-100,https://d3926qxcw0e1bh.cloudfront.net/post_photos/2a/18/2a18f2d9102256bb38630cc306d9cbf9.png
Nature Gallery,Galleries,"Los Altos, CA",http://www.nature-gallery.com/,10:00 AM - 8:00 PM,"296 State St, Los Altos, CA 94022",16503278700,18,5,No,10-100,https://nature-gallery.com/wp-content/uploads/2020/06/NG-1_opt.jpg
Gallery 9,Galleries,"Los Altos, CA",http://gallery9losaltos.com/,11:00 AM - 5:00 PM,"143 Main St, Los Altos, CA 94022",16509417969,6,3,No,1-10,https://www.losaltoshistory.org/wp-content/uploads/2021/03/Gallery-9-Walls.jpg
Viewpoints Art Gallery,Galleries,"Los Altos, CA",http://www.viewpointsgallery.com/,11:00 AM - 5:00 PM," 315 State St, Los Altos, CA 94022",16509415789,4,5,No,1-10,https://www.total-croatia-news.com/images/news/california-art-marion-podolski%20(2).JPG
Peabody Fine Art Gallery and Framing,Galleries,"Los Altos, CA",https://peabodygallery.com/,10:00 AM - 6:00 PM,"603 Santa Cruz Ave, Menlo Park, CA 94025",1650322200,41,5,No,10-100,https://s3-media0.fl.yelpcdn.com/bphoto/hbJ2gF-LXRczsnTpIJKkXg/l.jpg
Enchante Boutique Hotel,Hotels,"Los Altos, CA",https://www.enchantehotel.com/,Open 24 Hours,"1 Main St, Los Altos, CA 94022",1650946200,135,5,No,100-500,https://images.squarespace-cdn.com/content/v1/5d1408584654370001108e3a/1565986852922-UGP09BIQC3WYYY0VP6EO/webenchanteoutsideevening.jpg?format=2500w
Courtyard by Mariott,Hotels,"Los Altos, CA",https://www.marriott.com/hotels/travel/paocy-courtyard-palo-alto-los-altos/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2y_source=1_MTIzNjcxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Open 24 Hours,"4320 El Camino Real, Los Altos, CA 94022",16509419900,687,4,No,500-1000,https://cache.marriott.com/marriottassets/marriott/PAOCY/paocy-patio-0064-hor-feat.jpg
The Nest Hotel,Hotels,"Los Altos, CA",http://www.nestpaloalto.com/,Open 24 Hours,"3901 El Camino Real, Palo Alto, CA 94306",16504932760,241,4,No,100-500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/ce/51/dd/the-nest-palo-alto.jpg?w=900&h=-1&s=1
Residence Inn by Marriott,Hotels,"Los Altos, CA",https://www.marriott.com/hotels/travel/paori-residence-inn-palo-alto-los-altos/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2y_source=1_MjgxOTMxOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Open 24 Hours,"4460 El Camino Real, Los Altos, CA 94022",16505597890,574,4,No,500-1000,https://cache.marriott.com/content/dam/marriott-renditions/PAORI/paori-outdoor-0046-hor-clsc.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1215px:*
Village Court Shopping Center,Shopping,"Los Altos, CA",http://village-center-los-altos.edan.io/,10:00 AM - 9:00 PM," 4546 El Camino Real, Los Altos, CA 94022",16509490960,412,4,No,100-500,https://lh5.googleusercontent.com/p/AF1QipPDNJ-0exMV6Oaa99BSOChO_j3Mw94u5Lpw9Wln
Rancho Shopping Center ,Shopping,"Los Altos, CA",https://www.visitrancho.com/,6:00 AM - 11:00 PM,"600 Foothill Expy, Los Altos, CA 94024",16509171000,423,4,No,100-500,https://s3-media0.fl.yelpcdn.com/bphoto/jYvzpOr5qIVU8JfVrfs7oA/l.jpg
Foothill Crossing Shopping,"Los Altos, CA",https://www.losaltosca.gov/communitydevelopment/page/22310-homestead-road-foothill-crossings-shopping-center,8:00 AM - 10:00 PM,"2310 Homestead Rd, Los Altos, CA 94024",16509416900,309,4,No,100-500,https://patch.com/img/cdn/users/63398/2011/02/raw/6cf85e375781285f73f856eb116ded08.jpg
Loyola Corners Shopping Center,Shopping,"Los Altos, CA",https://loyalcompanion.com/pages/waystoshop,9:00 AM - 6:00 PM,"981 Fremont Ave, Los Altos, CA 94024",No Phone Number Available,40,4,No,10-100,https://cdn.commercialcafe.com/images/A0BD22EE-EE60-47CF-8F36-1EB09ACC3CF4/1182617.jpg?width=450
